"ID","Código interno","Puesto","Empresa","Fecha","Ubicación","Salario","Tipo de trabajo","Turno","Resumen","Atributos"
"34","job_c3330daef8c28af4","EDUCADOR/AR AMBIENTAL ALICANTE","Silvoturismo Mediterráneo","Contratación en curso","Alicante provincia","De 1.200 € a 1.500 € al mes","Jornada completa","De lunes a viernes\n+1","Licenciatura o grado - Ciencias Ambientales, biología o similar.\n- Requisito imprescindible*, *experiencia mínima de 8 años *en el desarrollo de acciones de…","Grado;"
"35","job_ec2433e2cb2c24f1","Receptionist for language academy","INFOIDIOMA LANGUAGE CENTRE","Posted\nHoy","46100 Burjassot, Valencia provincia","","Media jornada","De lunes a viernes\n+1","To act as the initial point of contact for incoming phone calls, visitors, parents and pupils with a professional, helpful and friendly approach to build…","Inglés;Gestión de redes sociales: 1 año;Recepción: 1 año;"
"36","job_3a1dddf8b50eb745","English Teacher","Hello English Academy","Posted\nHoy","30010 Murcia, Murcia provincia","1.100 € al mes","Contrato temporal","De lunes a viernes\n+2","Class size: small groups, maximum 9 or 10.\nTeachers will be provided students textbooks and practice books .\nExperience is preferable however full training will…","Diplomatura/Grado;Inglés;"
"37","job_0b2a510712193cb7","Profesor/a de yoga","Madrid contra la Esclerosis Múltiple, Fundación...","Posted\nHoy","Madrid, Madrid provincia","Hasta 12.000 € al año","Media jornada","","Guiar a los alumnos en la ejecución de las posturas y técnicas de yoga.\nGrupo de alumnos, y la adaptación de la enseñanza a los diferentes niveles de…",""
"38","job_42bc73ff87aba212","Residential House Parent","Hamelin-Laie","Posted\nHoy","Barcelona, Barcelona provincia","30.000 € al año","Jornada completa","","The *Residential House Parent *will be resident in the college campus.\nAreas of Responsibility and Key Tasks*.\nTo monitor general Boarding routine.","Boarding School: 1 year;"
"39","job_418ad8102545842a","DOCENTE FRANCÉS SECUNDARIA Y BACHILLERATO","Congregacion de los Legionarios de Cristo","Posted\nHoy","Madrid, Madrid provincia","","Jornada completa\n+1","","Ofrecemos un contrato temporal a tiempo completo para cubrir una baja maternal durante el 1er trimestre.","Máster;Grado;"
"40","job_ed6526772afa5b31","Prep School - Head of Drama","Runnymede College","Posted\nHoy","Madrid, Madrid provincia","","Contrato indefinido","","The school is seeking to appoint a Prep School Head of Drama for September 2023.\nThe Prep School Head of Drama will be responsible for leading a vibrant and…",""
"41","job_dc6ab39861949971","Profesor Lengua castellana para extrangeros","Nascor Formación","Posted\nHoy","Xàbia, Alicante provincia","16,55 € por hora","Contrato temporal","De lunes a viernes\n+2","\* Licenciatura o Grado en Filología Hispánica, Traducción e Interpretación, Lenguas o titulación equivalente.","Máster;Grado;"
"42","job_b0cc9529c35b27e7","Vacant professor/a química","Institució Familiar d´Educació","Posted\nHoy","Lleida, Lleida provincia","De 27.000 € a 30.000 € al año","Jornada completa\n+2","","Puesto: Vacant professor/a Química Situación de la oferta: Proceso activo Nº de vacantes: 1 Referencia: 8215 Sector empresarial: Enseñanza Subsector: Centro…","Máster;Grado;"
"43","job_110616310ea355ad","DOCENTE PARA EL MÓDULO LENGUA EXTRANJERA PROFESIONAL PARA SERVICIOS DE RESTAURACIÓN (INGLÉS)"","CENTRO DE FORMACIÓN DE JEREZ","Posted\nHoy","Jerez de la Frontera, Cádiz provincia","","Media jornada","","Código del anuncio OM\2023\006221 Nombre del anuncio DOCENTE PARA EL MÓDULO LENGUA EXTRANJERA PROFESIONAL PARA SERVICIOS DE RESTAURACIÓN (INGLÉS)"…","Grado;"
"44","job_d98408ca1d410cc3","DOCENTE_ INICIACIÓN HOJAS DE CÁLCULO_ TORDESILLAS","","Posted\nHoy","Tordesillas, Valladolid provincia","","Media jornada","","Diplomado, Ingeniero Técnico, Arquitecto Técnico u otros títulos equivalentes.\nSalario bruto anual, excepto que se indique lo contrario.","Sin necesidad de experiencia;Presencial;Máster;Grado;FP Grado Superior;"
